filename,width,height,class,xmin,ymin,xmax,ymax
13733.png,68,27,1,23,6,31,24
13733.png,68,27,8,30,6,39,24
9732.png,117,67,1,54,11,69,56
20869.png,57,25,3,19,1,29,21
20869.png,57,25,2,28,2,41,22
22605.png,130,69,1,45,21,61,60
22605.png,130,69,10,59,17,75,56
22605.png,130,69,1,74,8,88,47
29371.png,72,28,2,26,6,34,24
29371.png,72,28,2,38,6,47,24
10623.png,116,50,2,43,9,61,37
10623.png,116,50,10,59,10,76,38
22429.png,82,32,1,25,8,33,26
22429.png,82,32,2,32,7,42,25
22429.png,82,32,6,41,7,55,25
12871.png,84,42,1,35,6,51,39
20171.png,312,133,4,99,26,155,116
20171.png,312,133,5,151,24,211,114
29302.png,86,34,5,26,7,38,25
29302.png,86,34,1,40,7,47,25
29302.png,86,34,1,48,6,55,24
25354.png,107,45,9,33,11,51,39
25354.png,107,45,9,53,10,73,38
28537.png,264,135,2,102,67,124,110
28537.png,264,135,2,120,65,144,108
28537.png,264,135,8,141,65,165,108
6271.png,177,61,1,44,10,71,53
6271.png,177,61,1,77,9,105,52
6271.png,177,61,9,104,10,134,53
17157.png,141,69,1,51,11,66,61
17157.png,141,69,5,65,10,88,60
22513.png,119,61,2,45,9,74,52
25859.png,112,49,2,38,9,56,41
25859.png,112,49,4,56,8,71,40
31043.png,133,54,1,45,16,60,40
31043.png,133,54,7,60,15,71,39
31043.png,133,54,9,70,14,82,38
30462.png,79,44,9,30,4,45,35
3016.png,84,41,4,29,8,39,34
3016.png,84,41,9,41,7,51,33
18071.png,116,56,1,42,8,54,46
18071.png,116,56,9,52,6,72,44
16137.png,180,82,8,60,8,89,72
16137.png,180,82,9,93,7,122,71
29317.png,76,34,3,32,6,37,22
29317.png,76,34,2,37,8,42,24
14640.png,127,68,1,52,35,63,58
14640.png,127,68,4,62,25,72,48
14640.png,127,68,5,70,11,80,34
23127.png,309,126,6,105,24,132,85
23127.png,309,126,10,132,50,167,111
23127.png,309,126,7,164,30,207,91
22629.png,74,37,2,22,1,37,31
22629.png,74,37,10,37,2,50,32
24258.png,173,80,8,59,14,84,67
24258.png,173,80,3,84,13,112,66
26235.png,79,35,2,25,2,43,30
26235.png,79,35,1,44,2,54,30
31693.png,374,119,7,108,58,125,89
31693.png,374,119,4,121,60,135,91
31693.png,374,119,8,134,58,147,89
23150.png,86,35,8,29,5,43,28
23150.png,86,35,5,42,4,56,27
24985.png,217,71,4,56,33,77,56
24985.png,217,71,1,66,27,85,50
24985.png,217,71,8,79,22,97,45
27260.png,144,61,4,56,10,75,46
27260.png,144,61,5,75,15,92,51
30211.png,164,72,7,60,20,81,57
30211.png,164,72,5,83,16,102,53
20290.png,93,52,6,36,5,60,44
2022.png,100,32,2,24,1,36,27
2022.png,100,32,4,39,3,51,29
2022.png,100,32,4,52,4,65,30
2022.png,100,32,1,64,3,75,29
19353.png,89,37,2,26,9,42,32
19353.png,89,37,1,40,9,47,32
1942.png,91,36,4,35,8,46,30
1942.png,91,36,9,45,8,52,30
1942.png,91,36,8,51,8,61,30
15883.png,207,89,5,70,18,99,88
15883.png,207,89,4,105,9,138,79
17170.png,53,29,7,21,5,33,24
22943.png,152,57,2,38,6,64,50
22943.png,152,57,8,62,5,88,49
22943.png,152,57,9,86,5,114,49
7962.png,48,18,2,14,2,23,15
7962.png,48,18,5,20,3,26,16
7962.png,48,18,3,25,2,33,15
30667.png,136,63,7,53,7,68,51
30667.png,136,63,3,69,3,87,47
27934.png,137,71,2,48,7,73,59
27934.png,137,71,5,75,9,87,61
13497.png,142,68,2,47,14,68,54
13497.png,142,68,6,65,16,83,56
20859.png,58,26,3,22,3,30,22
20859.png,58,26,9,30,3,39,22
24331.png,112,59,2,49,11,67,42
24331.png,112,59,3,68,11,86,42
22639.png,110,48,3,36,4,53,43
22639.png,110,48,3,57,3,76,42
22169.png,253,116,9,88,16,129,88
22169.png,253,116,9,127,17,166,89
22313.png,129,63,4,50,12,61,48
22313.png,129,63,6,65,13,82,49
24801.png,97,34,3,33,8,47,29
24801.png,97,34,10,47,7,59,28
24801.png,97,34,9,59,5,71,26
853.png,106,54,1,40,9,51,42
853.png,106,54,3,52,11,66,44
1889.png,114,52,7,43,9,59,37
1889.png,114,52,1,58,11,71,39
25044.png,210,68,2,118,25,135,60
25044.png,210,68,4,133,17,145,52
25044.png,210,68,9,142,7,159,42
6570.png,127,50,2,49,13,61,36
6570.png,127,50,2,61,14,71,37
6570.png,127,50,8,70,19,79,42
20364.png,165,69,4,65,14,83,55
20364.png,165,69,6,83,15,101,56
14850.png,102,52,6,34,7,54,47
14850.png,102,52,2,53,6,69,46
5972.png,110,54,1,40,18,52,45
5972.png,110,54,10,46,15,60,42
5972.png,110,54,2,55,8,72,35
404.png,391,181,3,144,36,181,122
404.png,391,181,9,183,29,209,115
404.png,391,181,8,214,24,236,110
28134.png,50,19,8,14,2,23,17
28134.png,50,19,1,24,2,31,17
31905.png,50,19,1,13,3,18,18
31905.png,50,19,1,18,2,22,17
31905.png,50,19,7,22,1,29,16
31905.png,50,19,2,27,3,35,18
6216.png,66,20,3,17,2,26,18
6216.png,66,20,10,26,2,33,18
6216.png,66,20,2,33,1,40,17
6216.png,66,20,3,40,1,49,17
29437.png,73,30,1,26,7,33,25
29437.png,73,30,1,33,6,40,24
29437.png,73,30,2,41,6,51,24
4409.png,112,44,3,42,13,53,36
4409.png,112,44,4,52,12,62,35
4409.png,112,44,9,61,12,72,35
18429.png,182,65,2,51,18,72,55
18429.png,182,65,7,75,16,89,53
18429.png,182,65,10,95,16,104,53
18429.png,182,65,2,114,10,133,47
27866.png,58,25,3,19,2,30,20
27866.png,58,25,2,29,1,40,19
20147.png,51,20,9,17,1,26,17
20147.png,51,20,4,26,2,35,18
3614.png,83,36,9,28,9,39,29
3614.png,83,36,9,36,10,47,30
3614.png,83,36,3,44,11,57,31
21894.png,98,51,1,35,6,49,45
21894.png,98,51,1,48,7,60,46
30241.png,57,31,3,22,4,32,26
226.png,74,33,1,23,6,28,28
226.png,74,33,3,28,5,39,27
